n_qubits,algorithm,error_type,threshold_prob
4,SGA,BF,0.004068476028534998
4,SGA,PF,0.0033318265621099644
4,SGA,DEP,0.003053283234872121
4,SGA,AD,0.014493032719781595
4,SGA,PD,0.056960093880769384
4,SGAA,BF,0.003296423613162101
4,SGAA,PF,0.003875348898710467
4,SGAA,DEP,0.0035449554417177104
4,SGAA,AD,0.01846220240100741
4,SGAA,PD,0.052457989727715475
4,M1GA,BF,0.005829517473149417
4,M1GA,PF,0.004100652794727198
4,M1GA,DEP,0.005583254097047853
4,M1GA,AD,0.029870241226201275
4,M1GA,PD,0.05833343465093905
4,M1GAA,BF,0.004859996882829417
4,M1GAA,PF,0.004304159382873734
4,M1GAA,DEP,0.006636604961442834
4,M1GAA,AD,0.028890336110203075
4,M1GAA,PD,0.08357710107072217
4,M2GA,BF,0.030951784197252707
4,M2GA,PF,0.032678644151729774
4,M2GA,DEP,0.044635964452494944
4,M2GA,AD,
4,M2GA,PD,
4,M2GAA,BF,0.03060574074100295
4,M2GAA,PF,0.030696245857121864
4,M2GAA,DEP,0.046543897304460694
4,M2GAA,AD,
4,M2GAA,PD,
