n_qubits,algorithm,error_type,threshold_prob
4,SGA,BF,0.004451711742495033
4,SGA,PF,0.004126560356968106
4,SGA,DEP,0.003448409019204658
4,SGA,AD,0.015354788496360199
4,SGA,PD,0.05311947642097887
4,SGAA,BF,
4,SGAA,PF,
4,SGAA,DEP,
4,SGAA,AD,
4,SGAA,PD,
4,M1GA,BF,0.005856942572334532
4,M1GA,PF,0.004066792544830928
4,M1GA,DEP,0.005235654876058724
4,M1GA,AD,0.031573870234037064
4,M1GA,PD,0.06310467044696333
4,M1GAA,BF,
4,M1GAA,PF,
4,M1GAA,DEP,
4,M1GAA,AD,
4,M1GAA,PD,
4,M2GA,BF,0.03028776563083593
4,M2GA,PF,0.031199927636857916
4,M2GA,DEP,0.05077766855226884
4,M2GA,AD,
4,M2GA,PD,
4,M2GAA,BF,
4,M2GAA,PF,
4,M2GAA,DEP,
4,M2GAA,AD,
4,M2GAA,PD,
6,SGA,BF,0.0004461688677492159
6,SGA,PF,0.00042831316857536096
6,SGA,DEP,0.0004499706686658412
6,SGA,AD,0.002016759962138097
6,SGA,PD,0.006578070020202921
6,SGAA,BF,
6,SGAA,PF,
6,SGAA,DEP,
6,SGAA,AD,
6,SGAA,PD,
6,M1GA,BF,0.0008718235362319519
6,M1GA,PF,0.000653166599063607
6,M1GA,DEP,0.000795692199027533
6,M1GA,AD,0.0036785160187285276
6,M1GA,PD,0.01055779263629656
6,M1GAA,BF,
6,M1GAA,PF,
6,M1GAA,DEP,
6,M1GAA,AD,
6,M1GAA,PD,
6,M2GA,BF,0.009542952408752737
6,M2GA,PF,0.008282487433412561
6,M2GA,DEP,0.008332672335170477
6,M2GA,AD,0.03456684849942614
6,M2GA,PD,0.0992906125666267
6,M2GAA,BF,
6,M2GAA,PF,
6,M2GAA,DEP,
6,M2GAA,AD,
6,M2GAA,PD,
8,SGA,BF,0.0001101591150207022
8,SGA,PF,9.988265426291859e-05
8,SGA,DEP,0.00011500247328548622
8,SGA,AD,0.0004918450692429877
8,SGA,PD,0.001657899066437885
8,SGAA,BF,
8,SGAA,PF,
8,SGAA,DEP,
8,SGAA,AD,
8,SGAA,PD,
8,M1GA,BF,0.00023751372656925315
8,M1GA,PF,0.00017216611086137855
8,M1GA,DEP,0.00021643632670506776
8,M1GA,AD,0.0009010985153107871
8,M1GA,PD,0.002988192870877719
8,M1GAA,BF,
8,M1GAA,PF,
8,M1GAA,DEP,
8,M1GAA,AD,
8,M1GAA,PD,
8,M2GA,BF,0.004451711742495032
8,M2GA,PF,0.004126560356968106
8,M2GA,DEP,0.0034484090192046573
8,M2GA,AD,0.015354788496360199
8,M2GA,PD,0.05311947642097887
8,M2GAA,BF,
8,M2GAA,PF,
8,M2GAA,DEP,
8,M2GAA,AD,
8,M2GAA,PD,
10,SGA,BF,
10,SGA,PF,
10,SGA,DEP,3.3336947777411506e-05
10,SGA,AD,0.00014835040797400354
10,SGA,PD,0.0004965845426163036
10,SGAA,BF,
10,SGAA,PF,
10,SGAA,DEP,
10,SGAA,AD,
10,SGAA,PD,
10,M1GA,BF,6.877301635222394e-05
10,M1GA,PF,5.376442249480956e-05
10,M1GA,DEP,6.443044966280933e-05
10,M1GA,AD,0.0002638773103366988
10,M1GA,PD,0.0009386118671216803
10,M1GAA,BF,
10,M1GAA,PF,
10,M1GAA,DEP,
10,M1GAA,AD,
10,M1GAA,PD,
10,M2GA,BF,0.001380760569326241
10,M2GA,PF,0.0012182316695613872
10,M2GA,DEP,0.0012434934717687304
10,M2GA,AD,0.005502196038737992
10,M2GA,PD,0.017614601998355142
10,M2GAA,BF,
10,M2GAA,PF,
10,M2GAA,DEP,
10,M2GAA,AD,
10,M2GAA,PD,
