n_qubits,algorithm,error_type,threshold_prob
4,SGA,BF,0.004301742212394312
4,SGA,PF,0.003620725433818474
4,SGA,DEP,0.0030751218267565305
4,SGA,AD,0.015012419330174217
4,SGA,PD,0.05246404361681439
4,SGAA,BF,0.003864995091023486
4,SGAA,PF,0.0032191093452422046
4,SGAA,DEP,0.003337095998047463
4,SGAA,AD,0.020144059232857243
4,SGAA,PD,0.05516150244416522
4,M1GA,BF,0.005960761075125925
4,M1GA,PF,0.004002794017484331
4,M1GA,DEP,0.005411686718512086
4,M1GA,AD,0.02925059318227441
4,M1GA,PD,0.055778251219537
4,M1GAA,BF,0.005071154521043575
4,M1GAA,PF,0.004543486144268039
4,M1GAA,DEP,0.006871467195696323
4,M1GAA,AD,0.03617407819030567
4,M1GAA,PD,0.08288787655646687
4,M2GA,BF,0.03045740513045622
4,M2GA,PF,0.03190894287066269
4,M2GA,DEP,0.05020934754974299
4,M2GA,AD,
4,M2GA,PD,
4,M2GAA,BF,0.03017580325490626
4,M2GAA,PF,0.029490935968936854
4,M2GAA,DEP,0.048139566313575285
4,M2GAA,AD,
4,M2GAA,PD,
4,SGA,BF,0.004093433892894474
4,SGA,PF,0.0033602367381191916
4,SGA,DEP,0.0036440308846332863
4,SGA,AD,0.015966139619651612
4,SGA,PD,0.04775041950541466
4,SGAA,BF,0.0038911352955367105
4,SGAA,PF,0.0033772574437650827
4,SGAA,DEP,0.003724518228211674
4,SGAA,AD,0.021005497438390586
4,SGAA,PD,0.05020245482894547
4,M1GA,BF,0.005840258588621613
4,M1GA,PF,0.0039337371135074305
4,M1GA,DEP,0.004602133554559434
4,M1GA,AD,0.030235523880314717
4,M1GA,PD,0.05500754535243341
4,M1GAA,BF,0.00567217814838415
4,M1GAA,PF,0.00455805365354021
4,M1GAA,DEP,0.006727753219414731
4,M1GAA,AD,0.03493050485694312
4,M1GAA,PD,0.08215157025391638
4,M2GA,BF,0.0285475566671409
4,M2GA,PF,0.03076061385257569
4,M2GA,DEP,0.049590227823127025
4,M2GA,AD,
4,M2GA,PD,
4,M2GAA,BF,0.028080706105894023
4,M2GAA,PF,0.03276964766500965
4,M2GAA,DEP,0.048777928786883126
4,M2GAA,AD,
4,M2GAA,PD,
6,SGA,BF,0.0004519315485797241
6,SGA,PF,0.0003957669441296348
6,SGA,DEP,0.020111539247267676
6,SGA,AD,0.0018391307292088387
6,SGA,PD,0.005073437598067374
6,SGAA,BF,0.0012039093264918825
6,SGAA,PF,0.001177228047338504
6,SGAA,DEP,0.0040479917748093945
6,SGAA,AD,0.006227282222328516
6,SGAA,PD,0.01781539588507748
6,M1GA,BF,0.0007861107736059086
6,M1GA,PF,0.003227848211196708
6,M1GA,DEP,0.0006155770506331893
6,M1GA,AD,0.003727509081674034
6,M1GA,PD,0.009384826248584605
6,M1GAA,BF,0.021241393463555996
6,M1GAA,PF,0.002395683963603718
6,M1GAA,DEP,0.002217209194129632
6,M1GAA,AD,0.010626655084360389
6,M1GAA,PD,0.028881303623337663
6,M2GA,BF,0.009033751889628754
6,M2GA,PF,0.007207576780014385
6,M2GA,DEP,0.0068698913621626735
6,M2GA,AD,0.033929319388309495
6,M2GA,PD,0.09026935991624181
6,M2GAA,BF,0.008863855445387925
6,M2GAA,PF,0.007298064942907419
6,M2GAA,DEP,0.007729218749314945
6,M2GAA,AD,0.03484890603067593
6,M2GAA,PD,0.09944656937987441
8,SGA,BF,0.0365178667714688
8,SGA,PF,7.126167407715196e-05
8,SGA,DEP,8.65761587141629e-05
8,SGA,AD,0.00040726074940295825
8,SGA,PD,0.0013258413753476988
8,SGAA,BF,0.00045739629213646156
8,SGAA,PF,0.00046745737079761154
8,SGAA,DEP,0.0005208329261583368
8,SGAA,AD,0.002436323764677572
8,SGAA,PD,0.010152089071880262
8,M1GA,BF,0.00014259881026404528
8,M1GA,PF,0.0001534226361693505
8,M1GA,DEP,0.00016042704622725484
8,M1GA,AD,0.0008064698482888676
8,M1GA,PD,0.003178811325266203
8,M1GAA,BF,0.00015719388389002077
8,M1GAA,PF,0.00020682228048239881
8,M1GAA,DEP,0.00013841557046310283
8,M1GAA,AD,0.0009503081192661305
8,M1GAA,PD,0.002167872607985727
8,M2GA,BF,0.004055577706764204
8,M2GA,PF,0.0034329661167904987
8,M2GA,DEP,0.0030084636738673476
8,M2GA,AD,0.016017837747226465
8,M2GA,PD,0.04843352805616431
8,M2GAA,BF,0.003511481067139149
8,M2GAA,PF,0.00362623319952323
8,M2GAA,DEP,0.003928448799638106
8,M2GAA,AD,0.018945365783423505
8,M2GAA,PD,0.05142385271426462
10,SGA,BF,
10,SGA,PF,
10,SGA,DEP,
10,SGA,AD,9.077397440014501e-05
10,SGA,PD,0.00026332954256381145
10,SGAA,BF,0.00013548438864661191
10,SGAA,PF,0.0001552145592735774
10,SGAA,DEP,0.00020794626653604723
10,SGAA,AD,0.0007488947416049565
10,SGAA,PD,0.0024533298959203073
10,M1GA,BF,0.0002773652690148256
10,M1GA,PF,0.0030760616605686577
10,M1GA,DEP,
10,M1GA,AD,0.0002241190643087228
10,M1GA,PD,0.0006034543011579109
10,M1GAA,BF,0.0011639774256774508
10,M1GAA,PF,
10,M1GAA,DEP,0.0012225393570012885
10,M1GAA,AD,0.00024229998950710553
10,M1GAA,PD,0.00045670865527028373
10,M2GA,BF,0.0010254181093337662
10,M2GA,PF,0.001075023061468797
10,M2GA,DEP,0.000967133516595063
10,M2GA,AD,0.004749484416291054
10,M2GA,PD,0.015168666599175963
10,M2GAA,BF,0.0017634560142061077
10,M2GAA,PF,0.002253263431342962
10,M2GAA,DEP,0.002436681681216642
10,M2GAA,AD,0.01020371031472737
10,M2GAA,PD,0.025297357030366056
