n_qubits,algorithm,error_type,threshold_prob
4,SGA,BF,0.004227658484162534
4,SGA,PF,0.013952750988065678
4,SGA,DEP,0.003269193173192642
4,SGA,AD,0.015380993605395138
4,SGA,PD,0.05407505768105077
4,SGAA,BF,0.0038826358972698107
4,SGAA,PF,0.0037204051026312503
4,SGAA,DEP,0.004056184157821885
4,SGAA,AD,0.020809231624018605
4,SGAA,PD,0.050346742245989264
4,M1GA,BF,
4,M1GA,PF,
4,M1GA,DEP,
4,M1GA,AD,
4,M1GA,PD,
4,M1GAA,BF,
4,M1GAA,PF,
4,M1GAA,DEP,
4,M1GAA,AD,
4,M1GAA,PD,
4,M2GA,BF,0.03001051579533169
4,M2GA,PF,0.030945441191438532
4,M2GA,DEP,0.0494640418758548
4,M2GA,AD,
4,M2GA,PD,
4,M2GAA,BF,0.030371033559689054
4,M2GAA,PF,0.030772451124158134
4,M2GAA,DEP,0.05037990623071446
4,M2GAA,AD,
4,M2GAA,PD,
6,SGA,BF,0.000397321244109752
6,SGA,PF,0.0004075666968611472
6,SGA,DEP,0.000390842240342719
6,SGA,AD,0.001996647804193885
6,SGA,PD,0.005897355334539477
6,SGAA,BF,0.0012512743826154128
6,SGAA,PF,0.0012488751210717594
6,SGAA,DEP,0.0014051910352091488
6,SGAA,AD,0.005497933974110529
6,SGAA,PD,0.01650603764573611
6,M1GA,BF,
6,M1GA,PF,
6,M1GA,DEP,
6,M1GA,AD,
6,M1GA,PD,
6,M1GAA,BF,
6,M1GAA,PF,
6,M1GAA,DEP,
6,M1GAA,AD,
6,M1GAA,PD,
6,M2GA,BF,0.009227577059121054
6,M2GA,PF,0.007851680870305213
6,M2GA,DEP,0.008137915993973309
6,M2GA,AD,0.03334698045448249
6,M2GA,PD,0.09249766116000824
6,M2GAA,BF,0.009229335405085208
6,M2GAA,PF,0.007776518566256423
6,M2GAA,DEP,0.007961734322511113
6,M2GAA,AD,0.03275951494742871
6,M2GAA,PD,0.0995089534864647
8,SGA,BF,8.850264935189475e-05
8,SGA,PF,0.00011207607046681483
8,SGA,DEP,0.0009632870195241273
8,SGA,AD,0.00045298534884101726
8,SGA,PD,0.0014624022117064647
8,SGAA,BF,0.0004887988242315365
8,SGAA,PF,0.0004776867569322334
8,SGAA,DEP,0.0005403037332361575
8,SGAA,AD,0.002649812104961472
8,SGAA,PD,0.008014000774862643
8,M1GA,BF,
8,M1GA,PF,
8,M1GA,DEP,
8,M1GA,AD,
8,M1GA,PD,
8,M1GAA,BF,
8,M1GAA,PF,
8,M1GAA,DEP,
8,M1GAA,AD,
8,M1GAA,PD,
8,M2GA,BF,0.003960118738241156
8,M2GA,PF,0.0031491672929897722
8,M2GA,DEP,0.0029565395050011015
8,M2GA,AD,0.014921483543619204
8,M2GA,PD,0.05290640735161815
8,M2GAA,BF,0.003663288427919924
8,M2GAA,PF,0.003693846217682566
8,M2GAA,DEP,0.0037524393472527155
8,M2GAA,AD,0.017915641970472046
8,M2GAA,PD,0.049839755300492825
10,SGA,BF,
10,SGA,PF,
10,SGA,DEP,
10,SGA,AD,0.00014208401110545532
10,SGA,PD,0.019958132192159153
10,SGAA,BF,0.010149830628429057
10,SGAA,PF,0.00021891970482610905
10,SGAA,DEP,0.00026416141755607555
10,SGAA,AD,0.0012038796696088889
10,SGAA,PD,0.0031071632894805194
10,M1GA,BF,
10,M1GA,PF,
10,M1GA,DEP,
10,M1GA,AD,
10,M1GA,PD,
10,M1GAA,BF,
10,M1GAA,PF,
10,M1GAA,DEP,
10,M1GAA,AD,
10,M1GAA,PD,
10,M2GA,BF,0.0012781902874774728
10,M2GA,PF,0.0010678884301082413
10,M2GA,DEP,0.0011696298791958235
10,M2GA,AD,0.005017702181153071
10,M2GA,PD,0.01767508159570193
10,M2GAA,BF,0.0018490298695645994
10,M2GAA,PF,0.001985429641731788
10,M2GAA,DEP,0.0021529451944079414
10,M2GAA,AD,0.009065229928406566
10,M2GAA,PD,0.027457057391532733
